endpoint,daphne_ch,offline_ch,APA,TPC,det_center_x,det_center_y,det_center_z,ch_center_z
104,10,122,1,1,-357.495655,457.409125,115.23625,195.13625
104,16,123,1,1,-357.495655,396.65925,115.23625,195.13625
105,0,124,1,1,-357.495655,335.909375,115.23625,195.13625
105,6,125,1,1,-357.495655,275.1595,115.23625,195.13625
105,21,126,1,1,-357.495655,214.409625,115.23625,195.13625
105,17,127,1,1,-357.495655,153.65975,115.23625,195.13625
107,10,128,1,1,-357.495655,92.909875,115.23625,195.13625
107,7,129,1,1,-357.495655,32.16,115.23625,195.13625
104,2,130,1,1,-357.495655,578.908875,115.23625,145.93625
104,4,131,1,1,-357.495655,518.159,115.23625,145.93625
104,12,132,1,1,-357.495655,457.409125,115.23625,145.93625
104,14,133,1,1,-357.495655,396.65925,115.23625,145.93625
105,2,134,1,1,-357.495655,335.909375,115.23625,145.93625
105,4,135,1,1,-357.495655,275.1595,115.23625,145.93625
105,23,136,1,1,-357.495655,214.409625,115.23625,145.93625
105,15,137,1,1,-357.495655,153.65975,115.23625,145.93625
107,12,138,1,1,-357.495655,92.909875,115.23625,145.93625
107,5,139,1,1,-357.495655,32.16,115.23625,145.93625
104,5,140,1,1,-357.495655,578.908875,115.23625,84.53625
104,3,141,1,1,-357.495655,518.159,115.23625,84.53625
104,15,142,1,1,-357.495655,457.409125,115.23625,84.53625
104,13,143,1,1,-357.495655,396.65925,115.23625,84.53625
105,5,144,1,1,-357.495655,335.909375,115.23625,84.53625
105,3,145,1,1,-357.495655,275.1595,115.23625,84.53625
105,24,146,1,1,-357.495655,214.409625,115.23625,84.53625
105,12,147,1,1,-357.495655,153.65975,115.23625,84.53625
107,15,148,1,1,-357.495655,92.909875,115.23625,84.53625
107,2,149,1,1,-357.495655,32.16,115.23625,84.53625
104,7,150,1,1,-357.495655,578.908875,115.23625,35.33625
104,1,151,1,1,-357.495655,518.159,115.23625,35.33625
104,17,152,1,1,-357.495655,457.409125,115.23625,35.33625
104,11,153,1,1,-357.495655,396.65925,115.23625,35.33625
105,7,154,1,1,-357.495655,335.909375,115.23625,35.33625
105,1,155,1,1,-357.495655,275.1595,115.23625,35.33625
105,26,156,1,1,-357.495655,214.409625,115.23625,35.33625
105,10,157,1,1,-357.495655,153.65975,115.23625,35.33625
107,17,158,1,1,-357.495655,92.909875,115.23625,35.33625
107,0,159,1,1,-357.495655,32.16,115.23625,35.33625
