Run,Date,Time Start,Efield,Run LED
27393,23/06/24,18:24,180,26261
27508,28/06/24,1:25,180,26261
27980,11/07/24,18:05,180,26261
28046,17/07/24,17:30,180,26261
28106,23/07/24,15:31,180,26261
28518,31/7/24,14:24,180,26261
28577,08/8/24,09:45,180,26261
28681,14/8/24,09:24,180,26261
28803,21/8/24,10:14,180,26261
28895,26/8/24,05:31,180,26261
29032,02/9/24,12:29,180,26261
29110,10/9/24,09:09,180,26261
29199,10/9/24,09:09,180,26261
29229,10/9/24,09:09,180,26261
