Run,Date,Time Start,Efield,Run LED
27393,23/06/24,18:24,180,26376
27508,28/06/24,1:25,180,28624
27980,11/07/24,18:05,180,28624
28046,17/07/24,17:30,180,28624
28106,23/07/24,15:31,180,28624
28518,31/7/24,14:24,180,28624
28577,08/8/24,09:45,180,28624
28681,14/8/24,09:24,180,28624
28803,21/8/24,10:14,180,28624
28895,26/8/24,05:31,180,28993
29032,02/9/24,12:29,180,28993
29110,10/9/24,09:09,180,29177
29134,11/9/24,10:02,180,29177
29188,15/9/24,14:27,180,29177
