Run,Shifter,Particle,Beam Energy (GeV),Collimator position (mm),Time Start,,type,TriggerStatus: General Trigger Count (at begin of run),Run Config,Link to start run in elog,Issues/Comments
,,,,,,,,,,,
PROCESSED,,,,,,,,,,,
temporally limited to 16 hdf5 files,,,,,,,,,,,
,1st beam period (19th - 25th June) [Beam scan schedule],,,,,,,,,,
,,,,,,,,,,,
28524,wketchum,COSMICS,-,-,31.7.24 15:25,,,,np04_TPC_CRT_TPGLowThr_ctbCosmic_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26273,
28526,nlane,COSMICS,-,-,01.8.24 08:37,,,,np04_TPC_CRT_TPGLowThr_ctbCosmic_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26276,
28528,nlane,COSMICS,-,-,01.8.24 11:53,,,,np04_TPC_CRT_TPGLowThr_ctbCosmic_ssh.json (probably?),https://pdsp-elog.app.cern.ch/elisa/display/26291,"missing the start elog, problematic finding of the configuration"
28538,dvargas,,1,40,02.8.24 15:32,,,,"runing dual NICs single socket on np04-srv-031 numa node 0 with CRPs 4 and 5 with TPs
global_configs/np02_WIB_tp_dualnic.json ",https://pdsp-elog.app.cern.ch/elisa/display/26295,"Beam is back. One magnet (652) not very stable, beam not perfectly centered. Continue with the same conditions until Monday mid-day. No beam from 15:59 to 16:28 because of problem with TAXs in TCC, running in the same config. No major issue!"
28542,rraut,COSMICS,-,-,02.8.24 18:36,,,,np04_TPC_PDS_CRT_TPGLowThr_ctb_onlyOffSpillCosmics_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26304,"The beam is closed for more than hour, so switching to off-beam cosmic with 10Hz rate"
28543,rraut,COSMICS,-,-,02.8.24 21:35,,,,np04_TPC_PDS_CRT_TPGLowThr_ctb_onlyOffSpillCosmics_1Hz_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26306,"Off beam for more than 3hrs, switching to low rate off spills"
28544,dcasazza,,1,40,03.8.24 00:26,,,,np04_TPC_PDS_CRT_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26308,"Cherenkov trigger (veto LP hits). Small outage at 1:40, then it came back."
28545,dcasazza,,1,40,03.8.24 01:53,,,,np04_TPC_PDS_CRT_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26310,Starting a new beam run after small beam outage.
28546,cpalomar,,,,03.8.24 21:15,,,,np04_TPC_PDS_CRT_TPGLowThr_ctb_onlyOffSpillCosmics_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26316,"Beam went down at 21:03: we stopped the run --> ""No beam power converter fault. Not expected to be back at least in an hour"". Cosmics 10Hz no beam for at least 1h. Beam back at 21:50 so ended this run. Error when stopping it stop_triggers_sources (runp04 srv-026-flx0)"
28547,cpalomar,,1,40,03.8.24 22:16,,,,np04_TPC_PDS_CRT_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26318,
28548,cpalomar,,1,40,05.8.24 08:37,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26334,restarted run without CRT because its application died and will not recover
28550,pahamilt,,-1,40,05.8.24 12:05,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26337,Changed beam polarity
28556,mman,,-1,40,06.8.24 07:07,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26344,"restarting beam monitoring run after daphne9 was rebooted at 7:08am. Warning message persists on Daphne 9 ""Monitoring of general info failed"""
28557,rraut,,-1,40,06.8.24 16:31,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26349,"Started a new run with change in daphne configuration at 16:31. Smooth beam data taking all night at -1 GeV. Continue until late afternoon, then will change to +1 GeV."
28558,nlane,,-1,40,07.8.24 09:22,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26354,restarting after power daphne-9
28563,nlane,,1,35,07.8.24 15:34,,,trigger rate of 140 per spill,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26358,Elevated rate of warning messages throughout shift due to high instantaneous trigger rate. Changed beam polarity at end of shift and we have seen this high rate of warnings disappear. Otherwise smooth running.
28577,nlane,COSMICS,-,-,08.8.24 09:45,,COSMIC,,np04_TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26364,switching to 10Hz cosmics due to beam down time
28578,nlane,,1,35,08.8.24 09:59,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26366,restarting run as beam has returned
28586,nlane,COSMICS,-,-,08.8.24 15:31,,,,np04_TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26368,"restarting run due to beam down, expected beam to be off for atleast 30 mins ( RF problem)"
28586,nlane,,1,35,08.8.24 16:05,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26372,restarting run as the beam is back
28589,animesh,,1,35,08.8.24 17:03,,,,np04_TPC_PDS_CRT_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26373,"restarting new Beam run with CRT. We noticed no data from DAPHNE endpoint 11 (source id 12 in DAQ).

Day shifters at 08:00 on M-F are kindly asked to stop any run that has the CRT in it and start a run without the CRT.
Evening shifters at 16:00 on M-F are kindly asked to stop any run that does not have the CRT in it, and start a run with the CRT."
28590,rraut,,1,35,08.8.24 17:14,,,,np04_TPC_PDS_CRT_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26376,restarting new Beam run
28595,wdallawa,,1,35,09.8.24 08:04,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26380,"CRT removed at the start of the working day. Continue with current configuration until the change polarity in the afternoon/evening. As part of the investigation into APA3 ""3-second events"", high TP rates every around 3 minutes, Xavier grounded the temperature sensors at the flange using purpose-made terminator connectors.  This was done at around 9:30am and no change was seen in the APA TP rates."
28600,mzabloud,COSMICS,-,-,09.8.24 14:44,,,,np04_TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26384,"Off beam configuration - without CRT, because we have no beam."
28601,yinrui,COSMICS,-,-,09.8.24 16:38,,,,np04_TPC_PDS_CRT_TPGLowThr_ctb_onlyOffSpillCosmics_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26387,"continue the cosmic run, but with CRT"
28602,yinrui,,1,35,09.8.24 16:48,,,,np04_TPC_PDS_CRT_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26388,start the beam run with CRT
28605,yinrui,,-1,20,09.8.24 19:43,,,,np04_TPC_PDS_CRT_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26390,"Beam polarity swithed from positive to negative around 7:30pm.

New run launched accordingly, seeing a slightly higher rate (~30Hz) during spills as expected."
28607,wdallawa,COSMICS,-,-,12.8.24 04:22,,,,np04_TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26411,Cosmics run starting since beam has been doen for ~30 minutes should be fixed soon
28608,wdallawa,,-1,20,12.8.24 04:31,,,,np04_TPC_PDS_CRT_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26413,Starting new beam run now that the beam is back
28609,wdallawa,,-1,20,12.8.24 08:05,,,,np04_TPC_PDS_CRT_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26416,Starting run for the day without CRT
28610,rdeaguia,,1,35,12.8.24 09:23,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26419,change to 1 GeV and continue running until Tuesday
28612,wdallawa,,1,35,13.8.24 00:17,,,,np04_TPC_PDS_CRT_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26427,Begining overnight run with the CRT
28613,wdallawa,COSMICS,-,-,13.8.24 02:08,,,,np04_TPC_PDS_CRT_TPGLowThr_ctb_onlyOffSpillCosmics_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26429,Cosmics run since the beam has been off for a while no estimate of when it will return
28614,wdallawa,,1,35,13.8.24 05:55,,,,np04_TPC_PDS_CRT_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26431,Restarting the beam run now that the beam is back
28615,wdallawa,,1,35,13.8.24 08:04,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26433,Taking out the CRT for the run during the day
28617,mzabloud,COSMICS,-,-,13.8.24 08:59,,,,np04_TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26437,"Switching to an off beam run without CRT, since we are without beam. (after PDS error  solved). Next run will be without PDS to aloow calibration stand-alone runs."
28668,mzabloud,,1,35 (20?),13.8.24 16:04,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26522,"run without CRT,with PDS"
28671,rraut,,1,35 (20?),13.8.24 17:41,,,,np04_TPC_PDS_CRT_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26524,Restarting the new run including CRT
28673,tgiammar,COSMICS,-,-,14.8.24 02:39,,,,np04_TPC_PDS_CRT_TPGLowThr_ctb_onlyOffSpillCosmics_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26527,starting a high-rate offspillCosmic run since the beam was down since more than 30 mins
28674,wdallawa,,1,35 (20?),14.8.24 03:59,,,,np04_TPC_PDS_CRT_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26529,beam is back
28676,wdallawa,,1,35 (20?),14.8.24 04:26,,,,np04_TPC_PDS_CRT_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26532,Running again with the PDS now that the problem is resolved
28677,wdallawa,,1,35 (20?),14.8.24 08:00,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26536,Removing the CRT from the run for the workday
28678,sbutchar,COSMICS,-,-,14.8.24 08:37,,,,np04_TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26538,Cosmics with no CRT to allow for planned access
28681,sbutchar,COSMICS,-,-,14.8.24 09:24,,COSMIC,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26544,Cosmics with no CRT
28682,sbutchar,COSMICS,-,-,14.8.24 10:06,,,,np04/np04_TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics_1Hz_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26546,"Cosmics run while 5GeV beam is being calibrated, 1Hz configuration"
28693,delgadog,Kaons,5,,14.8.24 18:33,,,,np04_TPC_PDS_CRT_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26551,5GeV Beam and using CRT Triggers
28694,delgadog,Kaons,5,,14.8.24 19:11,,,,np04_TPC_PDS_CRT_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26553,"We are running with +5 GeV beam and triggering on signals where we see light in the HP cherenkov and no light in the LP one. This should be a trigger for kaons, but we think the rate is a bit high, as it's ~25 Hz out of a total ~250 Hz beam trigger. Event displays don't look obviously bad though. CTB experts are cross-checking the trigger configurations and trigger words. We can run stably like this for now and do further investigations in the morning."
28695,delgadog,Kaons,5,,14.8.24 21:52,,,,np04_TPC_PDS_CRT_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26556,rebooting because of dataflow errors
28696,delgadog,Kaons,5,,14.8.24 22:21,,,,np04_TPC_PDS_CRT_TPGLowThr_ctbBeamCherenkov_prescale_2_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26558,"rebooting of errors with prescale factor 2, same configurations +5GeV Beam and using CRT Triggers"
28697,wdallawa,Kaons,5,,15.8.24 08:03,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_prescale_2_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26562,Beam run without CRT for the day
28698,dvargas,Kaons,5,,15.8.24 11:35,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26567,"Beam run without CRT for the day, LLT reshape lenght 63*16 ns = 1.008 us"
28699,dvargas,Kaons,5,,15.8.24 11:58,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26569,"Beam run without CRT for the day, LLT reshape lenght 63*16 ns = 1.008 us, increase delay on LLT1"
28700,dvargas,Kaons,5,,15.8.24 12:07,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26571,"Beam run without CRT for the day, LLT reshape lenght 50*16 ns = 800 ns, increase delay on LLT1 = 48 ns"
28701,dvargas,Kaons,5,,15.8.24 12:19,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_prescale_2_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26573,"Beam 5 GeV run without CRT for the day prescale 2, starting pressure tests"
28705,wketchum,Kaons,5,,15.8.24 15:35,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_prescale_2_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26579,"Restarting run with +5 GeV beam, triggering on HLx, prescale 2"
28707,madmurph,Kaons,5,,15.8.24 16:03,,,,np04_TPC_PDS_CRT_TPGLowThr_ctbBeamCherenkov_prescale_2_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26582,
28711,dvargas,,5,10,16.8.24 10:34,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26595,"Running beam config, without CRT and no prescale"
28714,dvargas,,5,10,16.8.24 10:49,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26598,"5GeV beam, collimators brought in, ctb testing where we removed HLT1"
28715,dvargas,,5,10,16.8.24 10:59,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26600,"5GeV beam, collimators brought in, ctb testing where we removed HLT1 and set LLT1 delay to 2 (prev 1)"
28716,dvargas,,5,10,16.8.24 11:06,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26602,"5GeV beam, collimators brought in, ctb testing where we removed HLT1 and set LLT1 delay to 3 (default 1)"
28719,dvargas,,5,10,16.8.24 11:13,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26603,"5GeV beam, collimators brought in, ctb testing where we removed HLT1 and set LLT1 delay to 3 (default 1), reshape at 5 (default 50)"
28721,dvargas,,5,10,16.8.24 11:26,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26605,"5GeV beam, collimators brought in, ctb testing where we removed HLT1 and set LLT1 delay to 1, but LLT2 and LLT3 delays to 0 (default 1), reshape at 5 (default 50)"
28723,dvargas,,5,10,16.8.24 11:34,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26607,"5GeV beam, collimators brought in, ctb testing where we removed HLT1 and set mask 1 delay at 1, mask 4 and 5 delays at 1 as well, reshape at 5 (default 50)"
28726,dvargas,,5,10,16.8.24 12:01,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26609,"5GeV beam, collimators brought in, ctb testing where we removed HLT1, LLT delays at nominal, now putting cherenkov signals through dual timer to increase signal width (50 ns setting)"
28728,dvargas,,5,10,16.8.24 12:10,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26611,"5GeV beam, collimators brought in, ctb testing where we removed HLT1, LLT1 delay at 3, now putting cherenkov signals through dual timer to increase signal width (50 ns setting). turned dials to 5.0 turns on the fine adjustment, so should be about 500 ns width ..."
28731,dvargas,,5,10,16.8.24 12:54,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26614,"5GeV beam, collimators brought in, ctb testing where we removed HLT1, LLT1 delay at 3, now putting cherenkov signals through dual timer to increase signal width (500 ns approx), reshape length 5"
28732,dvargas,,5,10,16.8.24 13:41,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26616,"5GeV beam, collimators brought in, ctb testing, playing with delays"
28733,dvargas,,5,10,16.8.24 13:52,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26618,
28733,dvargas,,5,10,16.8.24 13:56,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26619,"5GeV beam, collimators brought in, ctb testing, playing with delays, not LLT1 configured to 96ns delay, reshape 800ns"
28735,dvargas,,5,10,16.8.24 14:02,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26621,"5GeV beam, collimators brought in, ctb testing, playing with delays, not LLT1 configured to 64ns delay, reshape 800ns"
28736,dvargas,,5,10,16.8.24 14:45,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26623,"5GeV beam, collimators brought in, ctb testing, playing with delays, not LLT1 configured to 48ns delay, reshape 800ns"
28741,madmurph,COSMICS,-,-,16.8.24 16:19,,,,np04_TPC_PDS_CRT_TPGLowThr_ctb_onlyOffSpillCosmics_1Hz_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26627,"Beam is down for at least an hour, starting a 1 Hz cosmic run including CRT"
28742,madmurph,COSMICS,-,-,16.8.24 18:33,,,,np04_TPC_PDS_TPGLowThr_100mHz_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26630,Low Rate cosmic run while debugging CTB
28743,wketchum,,5,10,16.8.24 21:04,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26632,"Run with CTB at 5 GeV beam, HLx trigger, with reshaping now being set correctly. LLT1 delay of 3 ticks"
28744,wketchum,,5,10,16.8.24 21:25,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26634,"Run with CTB at 5 GeV beam, HLx trigger, with reshaping now being set correctly. LLT1 delay of 3 ticks, LLT3 (LP cherenkov)delay of 1 tick."
28745,wketchum,,5,10,16.8.24 21:31,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26636,"Run with CTB at 5 GeV beam, HLx trigger, with reshaping now being set correctly. LLT1 delay of 5 ticks, LLT3 (LP cherenkov) delay of 1 tick."
28751,wketchum,,5,10,16.8.24 23:01,,,,np04_TPC_PDS_CRT_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26647,"Run with CTB at 5 GeV beam, HLx trigger. Reshape 10 ticks, LLT1 delay of 5 ticks, LLT3 (LP cherenkov) delay of 1 tick, with CRT now, fixing reshaping error, truly this time. no, seriously, really, it is going to be good this time.

Huge thanks to James, Jon, and Ben, but we have a fix on the configuration of the CTB so the reshaping time is being applied to beam LLTs. We've updated the Cherenkov configurations such that the LP Cherenkov signal is delayed by 1 time tick (16 ns) relative to the HP, and the beam signal is delayed by 5 time ticks (80 ns) relative to the HP, which we determined empirically works.

We think we have a good working configuration for the kaon triggering. I'm starting up a run with the CRT now that should then be good to run for the night, and hopefully the weekend.A few notes, and please help pass these along to the next shifters:

    * the rate during the beam spill should be relatively low: ~5-10 Hz at most. Don't be surprised by that, but do keep an eye on it.
    * There are a number of warnings that come from the ctbhsi about some missing of matching words. they will look like CTB Word Matching Issue: No match found for HLT: TS = 107740099525322175, trigger word = 0x200 Adjacent input ts: 107740099525322128 107740099525323186. These are ok. You may want to filter these warning messages from the grafana (if you scroll to the right, you can select everything but ctbmodules::CTBWordMatchWarning in the issue name, clicking on the filter button). Please try to look out for other kinds of warnings and errors.
    * There is no prescale applied for these configurations, and both configs with and without CRT should be ok to use.
    * If for some reason someone mentions to you that they are regenerating configurations, you may help remind them that this will override the CTB config, and they should be careful. Contact a DAQ expert if there's any confusion. (DAQ experts should know what to do)"
28752,wketchum,,5,10,17.8.24 11:29,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26653,"5 GeV kaon run, replaced S3 signal with a delayed beam signal (to appear as LLT4, I hope, delayed 2 ticks relative to beam signal - LLT1)"
28753,wketchum,,5,10,17.8.24 11:36,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26655,"5 GeV kaon run, replaced S3 signal with a delayed beam signal (to appear as LLT5, I hope, delayed 2 ticks relative to beam signal - LLT1)"
28754,wketchum,,5,10,17.8.24 12:04,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26657,"5 GeV kaon run, replaced S6 signal with a delayed beam signal (to appear as LLT5, I hope, delayed 2 ticks relative to beam signal - LLT1)"
28755,wketchum,,5,10,17.8.24 12:23,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26659,"5 GeV kaon run, replaced S9 signal with a delayed beam signal (to appear as LLT5, I hope, delayed 2 ticks relative to beam signal - LLT1)"
28756,pplesnia,Kaon,5,20,17.8.24 13:29,,,,np04_TPC_PDS_CRT_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26661,Mid run change - run 28756 - switched from collimation of 20mm to 30mm
28757,pplesnia,COSMICS,-,-,17.8.24 13:23,,,,np04_TPC_PDS_CRT_TPGLowThr_ctb_onlyOffSpillCosmics_10Hz_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26663,Beam down due to fault
28758,pplesnia,,5,30,17.8.24 13:52,,,,np04_TPC_PDS_CRT_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26665,Beam is back
28759,jgoudeau,,5,30,18.8.24 00:36,,,,np04_TPC_PDS_CRT_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26669,Restarting with same configuration due to crt13 issues
28760,pplesnia,COSMICS,-,-,18.8.24 12:16,,,,np04_TPC_PDS_CRT_TPGLowThr_ctb_onlyOffSpillCosmics_10Hz_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26673,"SBDS faulty, starting cosmic run 10Hz"
28761,pplesnia,,5,30,18.8.24 12:54,,,,np04_TPC_PDS_CRT_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26675,beam is back
28762,pplesnia,,5,40,18.8.24 13:30,,,,np04_TPC_PDS_CRT_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26677,Increased collimators to pm40mm
28773,wketchum,Kaon,5,40,19.8.24 15:29,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26686,"5 GeV kaon triggers, testing with beam signal copy in S9/LLT9 on trigger board"
28774,wketchum,Kaon,5,40,19.8.24 15:46,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26688,"5 GeV kaon triggers, testing with beam signal copy in S9/LLT9 on trigger board, copy delayed by 2 ticks relative to beam signal"
28775,wketchum,Kaon,5,40,19.8.24 16:05,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26691,"5 GeV kaon triggers, testing with beam signal copy in S9/LLT9 on trigger board, copy delayed by 2 ticks relative to beam signal, HLTs with beam require LLT1 and exclude LLT9 (delayed signal), beam signals reshaped to 15 ticks (240 ns)"
28776,shuaixia,Kaon,5,40,19.8.24 17:14,,,,np04_TPC_PDS_CRT_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26694,"5 GeV kaon triggers, HLTs with beam require LLT1 and exclude LLT9 (delayed signal), beam signals reshaped to 15 ticks (240 ns), include CRT in the configuration for the night shift. Daphne-9 errors made stop the run and restart it"
28777,tgiammar,Kaon,5,40,20.8.24 02:58,,,,,https://pdsp-elog.app.cern.ch/elisa/display/26697,restarting the run (new run number) 28777 due to daphne(-4 and -9) warnings
28778,mzabloud,Kaon,5,40,20.8.24 09:54,,,,np04_TPC_PDS_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26700,"Restarting without CRTs, beam down at the moment"
28791,herazafi,,,,20.8.24 17:29,,,,np04_TPC_PDS_TPGLowThr_10Hz_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26709,Cathode ramping up monitoring run
28794,herazafi,Kaon,-5,40,20.8.24 19:56,,,,np04_TPC_PDS_TPGLowThr_10Hz_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26711,without CRT
28796,herazafi,Kaon,-5,40,20.8.24 21:45,,,,np04_TPC_PDS_CRT_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26713,configuration updated to be triggering on antiprotons
28799,madmurph,Kaon,-5,40,21.8.24 06:04,,,,np04_TPC_PDS_CRT_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26717,"restarting with same configuration after many daphne-9, daphne-4, crt warnings"
28800,wketchum,Kaon,-5,40,21.8.24 08:13,,,,np04_TPC_PDS_CRT_TPGLowThr_ctbBeamCherenkov_ssh.json,https://pdsp-elog.app.cern.ch/elisa/display/26721,"mixed cosmics trigger, running with updated CRT timing calculations"
