Run,Shifter,Particle,Beam Energy (GeV),Collimator position (mm),Time Start,,type,TriggerStatus: General Trigger Count (at begin of run),Run Config,Link to start run in elog,Issues/Comments
,,,,,,,,,,,
PROCESSED,,,,,,,,,,,
temporally limited to 16 hdf5 files,,,,,,,,,,,
,1st beam period (19th - 25th June) [Beam scan schedule],,,,,,,,,,
,,,,,,,,,,,
27393,lperez,COSMICS,-,-,23.06.24 18:24,,COSMIC,,onlyOffSpillCosmics (2min),https://pdsp-elog.app.cern.ch/elisa/display/24392,
27394,lperez,Pions,-1,20,23.06.24 13:39,,,,Yes (with x2 prescale),https://pdsp-elog.app.cern.ch/elisa/display/24394,
27398,wdallawa,Pions,-1,20,24.06.24 1:26,,,,Yes (with x2 prescale),https://pdsp-elog.app.cern.ch/elisa/display/24406,
27399,wdallawa,COSMICS,-,-,24.06.24 7:36,,,,onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/24408,
27402,maroda,COSMICS,-,-,24.06.24 10:32,,,,onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/24419,
27404,maroda,Pions,5,20,24.06.24 12:04,,,,Yes (with x8 prescale),https://pdsp-elog.app.cern.ch/elisa/display/24427,"ground shake event with PDS run, so we should have PDS data in the corresponding trigger (Trigger 37664)"
27406,rraut,COSMICS,-,-,24.06.24 15:41,,,,onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/24432,cherenkov guys working
27408,rraut,Pions,7,20,24.06.24 17:06,,,,ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/24437,all Cherenkov trigger active
27409,jhancock,COSMICS,-,-,25.06.24 1:36,,,,onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/24440,
27410,jhancock,Pions,7,20,25.06.24 3:06,,,,ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/24443,
27411,jhancock,COSMICS,-,-,25.06.24 5:43,,,,onlyOffSpillCosmics (4min),https://pdsp-elog.app.cern.ch/elisa/display/24445,
27412,jhancock,Pions,7,20,25.06.24 5:53,,,,ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/24447,
27413,jgoudeau,Pions,-5,20,25.06.24 10:04,,,,ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/24454,changed Cherenkov increase to 4.5. Then 3.5. Collimators to +/-5
27484,titavare,Shortcuts,-,-,27.06.24 10:04,,,,,https://pdsp-elog.app.cern.ch/elisa/display/24521,No waveforms here¿? --> NO PDS IN THE RUN CONFIGURATION
27490,dapullia,,-,-,27.06.24 14:19,,,,TPC+PDS (TGP 100mHz),https://pdsp-elog.app.cern.ch/elisa/display/24529,
27501,dapullia,,-,-,27.06.24 14:19,,,,TPC+PDS (TGP 100mHz) + HV,https://pdsp-elog.app.cern.ch/elisa/display/24531,
27502,dapullia,COSMICS,-,-,27.06.24 16:39,,,,TPC+PDS (100mHz),https://pdsp-elog.app.cern.ch/elisa/display/24534,
27506,marroyav,COSMICS,-,-,28.06.24 0:43,,,,regular conf (+PDS) to test bug fix,https://pdsp-elog.app.cern.ch/elisa/display/24541,
27507,marroyav,COSMICS,-,-,28.06.24 0:54,,,,controller 12 50 ADC counts,https://pdsp-elog.app.cern.ch/elisa/display/24543,
27508,marroyav,COSMICS,-,-,28.06.24 1:25,,COSMIC,,"controllers 9,11,12,13 20 ADC counts",https://pdsp-elog.app.cern.ch/elisa/display/24545,
,,,,,,,,,,,
,2nd beam period (10th - 24th July),,,,,,,,,,
,,,,,,,,,,,
27801,wketchum,FakeBeam,-,-,08.07.24 9:38,,,,"TPC+PDS, 50 Hz instantaneous rate",https://pdsp-elog.app.cern.ch/elisa/display/24963,
27835,aoranday,FakeBeam,-,-,08.07.24 14:51,,,,TPC+PDS+TPG.,https://pdsp-elog.app.cern.ch/elisa/display/25019,
27878,wketchum,FakeBeam,-,-,08.07.24 18:05,,,,"TPC, PDS, and TPG with thresholds at 200 on collection",https://pdsp-elog.app.cern.ch/elisa/display/25098,
27879,wketchum,FakeBeam,-,-,08.07.24 18:24,,,,"TPC+PDS+TPG, cathode HV back on now",https://pdsp-elog.app.cern.ch/elisa/display/25102,
27881,wketchum,FakeBeam,-,-,08.07.24 18:48,,,,"TPC+PDS+TPG readout, after fixing latency buffer size issues",https://pdsp-elog.app.cern.ch/elisa/display/25105,
27882,wketchum,FakeBeam,-,-,08.07.24 19:02,,,,TPC+PDS,https://pdsp-elog.app.cern.ch/elisa/display/25107,
27884,wketchum,FakeBeam,-,-,08.07.24 22:50,,,,TPC+PDS 40 Hz instantaneous rate,https://pdsp-elog.app.cern.ch/elisa/display/25111,
27885,wketchum,FakeBeam,-,-,08.07.24 23:25,,,,increase latency buffer size for self-triggered DAPHNE readout,https://pdsp-elog.app.cern.ch/elisa/display/25113,
27886,wketchum,FakeBeam,-,-,08.07.24 23:44,,,,increase latency buffers on srv-026,https://pdsp-elog.app.cern.ch/elisa/display/25115,
27887,wketchum,FakeBeam,-,-,08.07.24 0:08,,,,restarting after srv-021,https://pdsp-elog.app.cern.ch/elisa/display/25117,
27888,wketchum,FakeBeam,-,-,08.07.24 0:25,,,,standard monitoring,https://pdsp-elog.app.cern.ch/elisa/display/25119,
27922,wketchum,FakeBeam,-,-,09.07.24 12:28,,,,"PDS + TPC_TPG, 40 Hz",https://pdsp-elog.app.cern.ch/elisa/display/25185,
27923,wketchum,FakeBeam,-,-,09.07.24 12:54,,,,"PDS + TPC_TPG, 40 Hz",https://pdsp-elog.app.cern.ch/elisa/display/25187,
27926,wketchum,FakeBeam,-,-,09.07.24 13:53,,,,"TPC+PDS+TPG, 40 Hz instantaneous rate",https://pdsp-elog.app.cern.ch/elisa/display/25194,
27933,aoranday,FakeBeam,-,-,09.07.24 18:25,,,,TPC+PDS+TPG Monitoring Run.,https://pdsp-elog.app.cern.ch/elisa/display/25205,
27935,aoranday,FakeBeam,-,-,09.07.24 22:27,,,,TPC+PDS+TPG Monitoring Run.,https://pdsp-elog.app.cern.ch/elisa/display/25207,
27937,aoranday,FakeBeam,-,-,09.07.24 23:26,,,,TPC+PDS test collections,https://pdsp-elog.app.cern.ch/elisa/display/25210,
27938,aoranday,FakeBeam,-,-,10.07.24 7:33,,,,TPC+PDS+TPG Stability Check.,https://pdsp-elog.app.cern.ch/elisa/display/25212,
27951,aoranday,,-,-,10.07.24 13:13,,,,TPC+PDS+TPG monitoring ground spikes.,https://pdsp-elog.app.cern.ch/elisa/display/25238,
27952,aoranday,,-,-,10.07.24 13:33,,,,TPC+PDS+TPGLowThr monitoring run.,https://pdsp-elog.app.cern.ch/elisa/display/25240,
27965,vcicero,FakeBeam,-,-,10.07.24 15:30,,,,PDS and with TPG,https://pdsp-elog.app.cern.ch/elisa/display/25259,
27971,rraut,,7,3,11.07.24 0:26,,,,TPGLowThr_ctbBeam,https://pdsp-elog.app.cern.ch/elisa/display/25270,
27973,wdallawa,,7,3,11.07.24 9:15,,,,TPGLowThr_ctbBeam,https://pdsp-elog.app.cern.ch/elisa/display/25273,
27975,jgoudeau,,-,-,11.07.24 10:05,,,,ground-shake events. -0.5 bias under the breakdown voltag,https://pdsp-elog.app.cern.ch/elisa/display/25275,
27980,rraut,COSMICS,-,-,11.07.24 18:05,,COSMIC,,TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/25292,
27993,wketchum,,-,-,12.07.24 13:29,,,,ADC simple triggering; np04_TPC_PDS_TPG_ADCSimple_100mHz,https://pdsp-elog.app.cern.ch/elisa/display/25307,running with too high of TPG threshold
27994,wketchum,,-,-,12.07.24 13:42,,,,TPG thresholds at 110,https://pdsp-elog.app.cern.ch/elisa/display/25309,
27997,jgoudeau,COSMICS,-,-,12.07.24 15:31,,,,TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/25313,
28005,herazafi,Cherenkov,1,,12.07.24 20:25,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov_prescale_2,https://pdsp-elog.app.cern.ch/elisa/display/25316,
28006,herazafi,Cherenkov,1,,12.07.24 20:45,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25318,
28007,wdallawa,Cherenkov,1,,13.07.24 3:55,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25320,PDS problems at the end (around 15:00)
28008,dapullia,Cherenkov,1,,13.07.24 15:28,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25323,
28009,urahaman,COSMICS,-,-,14.07.24 3:21,,,,TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/25329,Beam is down due to power converter issue since 3:02. Back at 04:07.
28010,urahaman,Cherenkov,1,,14.07.24 4:06,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25331,Very long run. Beam down since 10:20pm
28011,wdallawa,COSMICS,,,15.07.24 1:28,,,,TPC_PDS_TPGLowThr_ctb_onlyOffSpillCosmics,https://pdsp-elog.app.cern.ch/elisa/display/25338,
28012,wdallawa,Cherenkov,1,,15.07.24 2:17,,,,TPC_PDS_TPGLowThr_ctbBeamCherenkov,https://pdsp-elog.app.cern.ch/elisa/display/25340,
